'member_id','first_name','last_name','middle_name','city','state_abbreviation','phone_number','email','tier_code','professional_title'
1,'Mary','Brightman','J','Boston','MA','6175551212','drbrightman@southbaymedical.org','P','Pediatrician'
2,'Brian','Wong','','San Francisco','CA','4155551212','brainw@firststeps.com','D','School Principal'
3,'Sahid','Madriani','','Mountain View','CA','6505551212','sahidm@onetowatch.com','P','News Reporter'
4,'Helena','Smith-Tanaka','Elaine','Los Angeles','CA','3105551212','hst@sanbernadino.edu','D','Professor'
5,'Pierre','L''Amour','Jean','Chicago','IL','3125551212','pjs@myfirstlesson.com','T','Piano Instructor'
6,'Deborah','Garcia Sanchez','Maria','El Paso','TX','9155551212','deborahGarcia@elpaso.gov','P','City Mayor'
7,'William','Ericsson','','Bangor','ME','2075551212','chefericsson@swedishpastry.com','D','Pastry Chef'
8,'Charlotte','Nguyen','Marianne','San Francisco','CA','5105551212','cnm@bestconsulting.com','T','Business Consultant'
9,'Arusha','Balakrishnan','','San Francisco','CA','4155556777','abalakrishnan@bigwindow.com','T','Astrophysicist'
10,'Theodore','Bristol','Joseph','New York City','NY','2135551212','esqtbristol@esqme.com','P','Attorney'
11,'Florina','Chen','Mei Ling','New York City','NY','4045551212','florinachen@lifehackmag.com','P','Chief Editor'
12,'Joseph','Yabes','B','Santa Clara','CA','6505551555','josephb@mybestfriendever.com','T','Pathologist'
13,'Sumit','Patel','','Santa Clara','CA','6505556688','ppatel@authorsuite.com','D','Technical Writer'
14,'David','Marshalls','Michael','Seattle','WA','2065551212','dmarshalls@lemonde.com','T','Database Administrator'
15,'Marilyn','Sanchez','Concepcion','Miami','FL','4695551212','msanchez@metrozoom.gov','T','Secretary of Transportation'
16,'Jose','Samarada','Santo','Los Angeles','CA','3105557777','josesanto@stroke.com','D','Makeup Artist'
17,'David','Friedman','','New York City','NY','6465551212','david@voicecoaching.edu','D','Voice Coach'
18,'Nancy','Bleu','Daniella','Chicago','IL','7735551212','nb@myfirstlesson.com','P','Kindergarten Teacher'
19,'George','Whitman','','San Francisco','CA','4155558888','gw@buildersfirst.com','T','Architect'
20,'Jason','Yukimura','','Santa Monica','CA','3105559999','jyukimura@actors.jp','T','Actor'
21,'Michael','Jones','William','Fort Lauderdale','FL','4075551212','michaelj@excelstudents.edu','D','Tutor'
22,'Aleisha','Quach','','Wilton Manor','FL','7865551212','aleisha@bestrealtors.com','P','Realtor'
23,'Kamela','Vickson-Hsiang','','West Palm Beach','FL','5615551212','kvh@hometutoringservice.com','T','Tutor'
24,'Maria','McNeeland','','Boston','MA','5085551212','mariamcneeland@firstdraft.com','P','Architect'
25,'Patricia','Jones','Carla','Boston','MA','5085551111','pjones@royalballet.com','D','Musical Director'
26,'Nancy','Jones','Wai Jiang','Oakland','CA','5105553333','nancyjones@freelandcourt.gov','P','Court Interpreter'
27,'Jason','McNeeland','','Dallas','TX','4695551212','jasonmcneeland@mundodevaqueros.com','D','Landscape Designer'
28,'Arianna','Kwan','','Sausalito','CA','4155551111','arianna@bestrealtors.com','D','Artist'
